rmse,rate,dim,rank,cons
0.88278639,0.0625,20,5,n
0.472386861,0.027777778,30,5,n
0.33906775,0.015625,40,5,n
0.267682933,0.01,50,5,n
0.2184986,0.00694444,60,5,n
0.185573643,0.005102041,70,5,n
0.717238601,0.0625,20,5,v
0.457252398,0.027777778,30,5,v
0.323642137,0.015625,40,5,v
0.267427101,0.01,50,5,v
0.211129296,0.006944444,60,5,v
0.178433631,0.005102041,70,5,v
0.561757807,0.0625,20,5,c
0.315584077,0.027777778,30,5,c
0.180689408,0.015625,40,5,c
0.162828072,0.01,50,5,c
0.101551069,0.006944444,60,5,c
0.05924922,0.005102041,70,5,c